Name,Team,wFB/C,wCB/C,K/9
Joel Kuhnel,CIN,-0.57,,8.69
Chase Anderson,CIN,-1.16,-2.68,8.63
Josh Fleming,TBR,-1.03,-3.78,7.46
Josh Sborz,TEX,-1.02,-2.19,12.90
Josh Staumont,KCR,0.68,-3.64,10.27
Chasen Shreve,NYM,-0.61,,9.91
Art Warren,CIN,-2.04,,10.00
Collin Snider,KCR,-1.45,,5.77
Luke Weaver,- - -,-0.79,-1.67,9.59
Chase Silseth,LAA,-1.64,-6.14,7.53
Aaron Sanchez,- - -,-1.01,-2.10,6.15
T.J. McFarland,STL,-1.11,,4.41
Anthony DeSclafani,SFG,-4.19,1.15,8.05
Drew VerHagen,STL,-4.08,0.66,7.48
Tucker Davidson,- - -,-2.10,-1.73,5.71
Tayler Scott,SDP,0.47,,9.75
Julian Merryweather,TOR,-3.56,2.51,7.76
Elvis Peguero,LAA,-3.44,,6.23
Anthony Banda,- - -,-1.58,-2.20,10.13
Zach Logue,OAK,-1.98,,6.63
Jake McGee,- - -,-0.56,,6.08
Aaron Fletcher,PIT,-1.89,,4.63
Jake Reed,- - -,0.49,,7.02
Ashton Goudeau,COL,0.14,-3.50,7.08
Joan Adon,WSN,-1.17,-2.65,7.65
Norge Ruiz,OAK,-1.12,,8.53
Thomas Szapucki,- - -,-3.39,-0.06,10.80
Kolby Allard,TEX,-1.25,-1.69,8.14
Jose Marte,LAA,-3.75,,12.27
Heath Hembree,- - -,-3.54,-10.64,6.95
Carlos Hernandez,KCR,-1.72,0.88,5.63
Spencer Howard,TEX,-1.16,0.87,7.65
Anthony Castro,CLE,-4.07,-0.96,8.10
Casey Lawrence,TOR,-2.84,-7.15,5.50
Sergio Romo,- - -,-2.31,,7.00
Chad Smith,COL,-1.99,,11.50
Jhoulys Chacin,COL,-2.63,,7.04
Vladimir Gutierrez,CIN,-3.79,-3.24,7.12
Jacob Lemoine,OAK,0.08,,7.16
Sam Coonrod,PHI,-1.39,,8.53
Kyle Muller,ATL,-0.19,-1.09,8.76
Luis Patino,TBR,-2.00,,4.95
James Norwood,PHI,-2.06,,11.42
Jimmy Yacabonis,- - -,-1.17,,13.50
Bennett Sousa,CHW,-2.77,,5.31
Domingo Tapia,OAK,-2.35,,6.35
Chris Devenski,- - -,-3.49,-0.50,7.36
Sean Newcomb,- - -,-0.26,-3.33,9.11
Miguel Yajure,PIT,-3.91,0.63,5.92
Dallas Keuchel,- - -,-1.94,,6.68
Kohei Arihara,TEX,-6.18,-3.61,6.30
Travis Lakins Sr.,BAL,-1.54,-2.23,6.97
Alec Mills,CHC,-1.72,-3.77,5.60
Jackson Kowar,KCR,-4.83,,9.77
Andrew Nardi,MIA,-3.43,,14.73
Kervin Castro,- - -,-1.04,-2.91,8.03
Caleb Kilian,CHC,-1.34,-0.01,7.15
Luis Frias,ARI,-2.17,-1.34,7.41
Elvin Rodriguez,DET,-4.08,-5.09,7.58
Tyson Miller,TEX,-0.57,-80.54,6.75
Connor Seabold,BOS,-1.86,-14.12,9.33
Yennier Cano,- - -,-3.47,,10.50
Bryan Hoeing,MIA,-2.20,,4.26
T.J. Zeuch,CIN,-6.63,,4.22
