Name,Team,wFB/C,wCB/C,K/9
Cody Stashak,MIN,-1.23,,8.27
Nathan Eovaldi,BOS,-0.75,0.09,8.48
Jason Foley,DET,0.65,,6.41
Konnor Pilkington,CLE,-0.05,0.79,7.76
Joey Krehbiel,BAL,0.49,-6.06,7.02
Mitch Keller,PIT,0.23,-1.41,7.81
Jameson Taillon,NYY,-0.37,1.20,7.66
Garrett Cleavinger,- - -,0.30,-0.26,12.52
Blake Taylor,HOU,0.18,,5.06
Noah Syndergaard,- - -,0.77,-0.31,6.35
Jose Urquidy,HOU,0.19,-1.27,7.34
Zack Kelly,BOS,2.32,,7.24
Michael Rucker,CHC,0.47,0.47,8.23
Reiss Knehr,SDP,0.71,1.32,6.59
Jon Gray,TEX,0.22,-1.51,9.47
Jose Suarez,LAA,0.14,0.13,8.50
Will Smith,- - -,-1.62,-4.18,9.92
Carlos Carrasco,NYM,-1.10,-0.09,9.00
Cole Irvin,OAK,0.38,-2.10,6.36
Jose Quijada,LAA,0.67,,11.51
Colin Poche,TBR,0.31,,9.82
Mark Leiter Jr.,CHC,0.24,-0.69,9.71
Lance Lynn,CHW,0.30,-1.25,9.17
Will Vest,DET,-0.26,,9.00
Dominic Leone,SFG,-2.60,,9.49
Walker Buehler,LAD,-3.04,1.45,8.03
Kyle Crick,CHW,1.29,,10.91
Garrett Hill,DET,0.74,-0.42,5.97
Chris Paddack,MIN,1.53,-3.59,8.06
John King,TEX,-0.06,,5.26
Miguel Castro,NYY,-1.44,,9.62
Daniel Castano,MIA,-5.66,,5.05
Taylor Clarke,KCR,-0.41,,8.82
Zach Eflin,PHI,0.24,0.87,7.73
Miguel Sanchez,MIL,-0.24,,6.08
Frankie Montas,- - -,-0.45,,8.85
Eduardo Rodriguez,DET,0.52,,7.12
Zach Davies,ARI,-0.71,-1.56,6.83
Hanser Alberto,LAD,-0.33,,0.82
Jake Fishman,MIA,1.30,,4.91
Nick Vespi,BAL,-0.23,-0.34,9.57
Trent Thornton,TOR,-1.91,-0.77,7.24
Justin Grimm,OAK,-4.28,0.80,6.46
Caleb Smith,ARI,-0.98,-2.66,8.36
Derek Law,- - -,-2.06,1.32,7.78
Jonathan Loaisiga,NYY,0.78,,6.94
Marco Gonzales,SEA,-0.44,0.12,5.07
Trevor Gott,MIL,-0.08,0.07,8.67
Brett Martin,TEX,0.77,-1.04,7.20
Darren O'Day,ATL,-0.16,,10.80
Matthew Festa,SEA,0.56,,10.67
Lucas Gilbreath,COL,-0.06,,10.26
Beau Brieske,DET,0.12,-9.06,5.95
Steve Cishek,WSN,0.66,,10.04
Kenny Rosenberg,LAA,-0.47,-2.52,6.75
Rowan Wick,CHC,-0.23,-1.02,9.70
Austin Pruitt,OAK,-3.09,-1.14,6.18
James Kaprielian,OAK,-0.22,0.41,6.58
Adrian Morejon,SDP,1.46,-0.81,7.41
Michael Lorenzen,LAA,0.76,-5.05,7.83
Jack Flaherty,STL,-2.31,1.60,8.25
Tyler Wells,BAL,-0.29,-0.53,6.60
Chris Stratton,- - -,-1.85,1.53,8.53
Rich Hill,BOS,-1.14,0.03,7.89
Anibal Sanchez,WSN,0.91,-0.75,6.23
Paul Blackburn,OAK,-0.50,0.96,7.19
Reyes Moronta,- - -,-0.07,,9.08
Zach Plesac,CLE,-1.03,-0.96,6.84
Tanner Scott,MIA,-0.32,,12.93
Matt Barnes,BOS,0.52,-0.43,7.71
Tommy Nance,MIA,-1.80,0.22,11.75
Mike Clevinger,SDP,0.53,-1.71,7.16
Corey Kluber,TBR,-1.30,-0.78,7.63
Austin Voth,- - -,-0.55,-0.29,7.97
Charlie Morton,ATL,-0.64,0.67,10.73
Anthony Misiewicz,- - -,-0.33,-1.24,8.38
Shawn Armstrong,- - -,0.01,-2.61,9.63
Wil Crowe,PIT,0.71,-1.95,8.05
Manny Banuelos,- - -,0.55,2.55,9.22
Duane Underwood Jr.,PIT,0.65,-1.19,8.95
Sean Poppen,ARI,0.63,,6.91
Matt Foster,CHW,0.67,-0.52,8.40
Tyler Mahle,- - -,0.70,,9.40
Jake Odorizzi,- - -,0.02,-1.86,7.28
Phillips Valdez,BOS,1.49,,7.16
Mauricio Llovera,SFG,0.10,,11.02
Rony Garcia,DET,0.52,,8.47
Ronald Bolanos,KCR,-0.58,-3.41,5.89
Jakob Junis,SFG,0.26,,7.88
