year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2022,Scherzer, Max,453286,Mets,NYM,R,94,981,2167,13.376543209876543,0.4526995846792801,FF,4-Seamer,15,-15.1,0.2,1,11.1,-7.9,3.2,40,0.5588235294117647,0.8357843137254902
2022,Quintana, José,500779,Cardinals,STL,L,91.2,981,2724,16.814814814814813,0.3601321585903084,FF,4-Seamer,17.7,-16.4,-1.3,-8,2.4,-6.9,-4.5,-65,0.2769607843137255,0.058823529411764705
2022,Anderson, Tyler,542881,Dodgers,LAD,L,90.7,979,2576,15.901234567901234,0.38004658385093165,FF,4-Seamer,15.3,-16.3,1.1,7,7.5,-6.3,1.1,18,0.7328431372549019,0.6176470588235294
2022,Woodruff, Brandon,605540,Brewers,MIL,R,96.3,973,2538,15.666666666666666,0.3833727344365642,FF,4-Seamer,12.1,-13.5,1.4,11,6,-7.6,-1.6,-21,0.8308823529411765,0.27941176470588236
2022,Morton, Charlie,450203,Braves,ATL,R,94.9,963,2903,17.919753086419753,0.3317258008956252,FF,4-Seamer,17.8,-14.9,-2.9,-19,10.5,-8.4,2.1,25,0.09313725490196079,0.7058823529411765
2022,Detmers, Reid,672282,Angels,LAA,L,93.2,961,2181,13.462962962962964,0.44062356717102247,FF,4-Seamer,14.7,-15.1,0.3,2,10.1,-7.1,2.9,41,0.5759803921568627,0.8063725490196079
2022,Anderson, Ian,666120,Braves,ATL,R,94,960,2005,12.376543209876543,0.47880299251870323,FF,4-Seamer,14.3,-13.9,-0.4,-3,5.9,-6.2,-0.3,-4,0.4338235294117647,0.39950980392156865
2022,Kirby, George,669923,Mariners,SEA,R,95.3,950,2092,12.91358024691358,0.4541108986615679,FF,4-Seamer,15.1,-14,-1.1,-8,8.8,-7.4,1.3,18,0.32598039215686275,0.6421568627450981
2022,Lyles, Jordan,543475,Orioles,BAL,R,91.8,949,2988,18.444444444444443,0.3176037483266399,FF,4-Seamer,15.5,-15.5,0,0,5.8,-6.3,-0.4,-7,0.5049019607843137,0.39215686274509803
2022,Pallante, Andre,669467,Cardinals,STL,R,95.2,949,1753,10.820987654320987,0.5413576725613235,FF,4-Seamer,21,-14.2,-6.8,-48,3.6,-7.6,-4,-53,0.004901960784313725,0.09313725490196079
2022,Irvin, Cole,608344,Athletics,OAK,L,90.7,941,2610,16.11111111111111,0.36053639846743296,FF,4-Seamer,17.1,-16.3,-0.8,-5,9.8,-6.2,3.6,58,0.3700980392156863,0.8676470588235294
2022,Kikuchi, Yusei,579328,Blue Jays,TOR,L,94.9,932,1843,11.376543209876543,0.5056972327726533,FF,4-Seamer,13.6,-14.8,1.2,8,11.5,-8.2,3.3,40,0.7696078431372549,0.8431372549019608
2022,Odorizzi, Jake,543606,Braves,ATL,R,92.1,920,1798,11.098765432098766,0.5116796440489433,FF,4-Seamer,15,-15.7,0.7,5,9.8,-6.8,2.9,43,0.6397058823529411,0.8063725490196079
2022,Lynn, Lance,458681,White Sox,CWS,R,93,919,2022,12.481481481481481,0.45450049455984176,FF,4-Seamer,18.3,-15.7,-2.5,-16,3.7,-7.9,-4.2,-53,0.11764705882352941,0.0784313725490196
2022,Plesac, Zach,668676,Guardians,CLE,R,91.9,917,2153,13.290123456790123,0.42591732466326054,FF,4-Seamer,13.5,-15.5,1.9,12,7.4,-6.4,1,16,0.9019607843137255,0.6004901960784313
2022,Fried, Max,608331,Braves,ATL,L,94,916,2818,17.395061728395063,0.32505322924059615,FF,4-Seamer,18.5,-14.5,-4,-28,1.7,-6.9,-5.1,-75,0.03431372549019608,0.029411764705882353
2022,Bumgarner, Madison,518516,D-backs,AZ,L,91.2,902,2715,16.75925925925926,0.33222836095764274,FF,4-Seamer,17.8,-16.6,-1.2,-7,8,-7.2,0.8,11,0.30637254901960786,0.5612745098039216
