Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2019,Chievo,Serie A,opponent,36,27,56.9,38,418,3420,38,73,54,71,2,4,64,4,1.92,1.42,3.34,1.87,3.29,59.6,56.4,44.3,100.7,1.57,1.17,2.73,1.48,2.65,https://fbref.com/en/squads/cc919b35/2018-2019/Chievo-Stats
2019,Crystal Palace,Premier League,team,26,27.4,45,38,418,3420,38,48,33,38,10,11,58,2,1.26,0.87,2.13,1,1.87,50.3,42.2,30.4,72.6,1.32,0.8,2.12,1.11,1.91,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2019,Crystal Palace,Premier League,opponent,26,26.7,55,38,418,3420,38,52,35,48,4,5,62,2,1.37,0.92,2.29,1.26,2.18,48.7,45.2,33.5,78.7,1.28,0.88,2.16,1.19,2.07,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
2019,Dijon,Ligue 1,team,26,27.1,47.9,38,418,3420,38,29,21,26,3,4,75,7,0.76,0.55,1.32,0.68,1.24,39.5,36.4,25.7,62.1,1.04,0.68,1.72,0.96,1.63,https://fbref.com/en/squads/8dfb7350/2018-2019/Dijon-Stats
2019,Dijon,Ligue 1,opponent,26,25.8,52.1,38,418,3420,38,59,41,56,3,3,48,5,1.55,1.08,2.63,1.47,2.55,61,58.7,39.5,98.2,1.61,1.04,2.64,1.55,2.58,https://fbref.com/en/squads/8dfb7350/2018-2019/Dijon-Stats
2019,Dortmund,Bundesliga,team,23,24.8,58,34,374,3060,34,80,60,76,4,4,40,3,2.35,1.76,4.12,2.24,4,58.4,55.4,42.3,97.8,1.72,1.24,2.96,1.63,2.88,https://fbref.com/en/squads/add600ae/2018-2019/Dortmund-Stats
2019,Dortmund,Bundesliga,opponent,23,25.7,42,34,374,3060,34,44,25,40,4,5,68,3,1.29,0.74,2.03,1.18,1.91,39.5,35.7,23.5,59.3,1.16,0.69,1.85,1.05,1.74,https://fbref.com/en/squads/add600ae/2018-2019/Dortmund-Stats
2019,Düsseldorf,Bundesliga,team,24,26.9,43.1,34,374,3060,34,48,35,43,5,7,67,1,1.41,1.03,2.44,1.26,2.29,46.7,41.4,34,75.4,1.37,1,2.37,1.22,2.22,https://fbref.com/en/squads/b1278397/2018-2019/Dusseldorf-Stats
2019,Düsseldorf,Bundesliga,opponent,24,25.8,56.9,34,374,3060,34,65,35,58,7,7,57,4,1.91,1.03,2.94,1.71,2.74,60.2,55.1,38.5,93.6,1.77,1.13,2.9,1.62,2.75,https://fbref.com/en/squads/b1278397/2018-2019/Dusseldorf-Stats
2019,Eibar,La Liga,team,25,28.5,54.1,38,418,3420,38,46,26,39,7,8,81,2,1.21,0.68,1.89,1.03,1.71,50.7,44.8,31.7,76.5,1.34,0.84,2.17,1.18,2.01,https://fbref.com/en/squads/bea5c710/2018-2019/Eibar-Stats
2019,Eibar,La Liga,opponent,25,26.8,45.9,38,418,3420,38,50,39,47,3,4,76,2,1.32,1.03,2.34,1.24,2.26,45.1,42,34.5,76.5,1.19,0.91,2.09,1.11,2.01,https://fbref.com/en/squads/bea5c710/2018-2019/Eibar-Stats
2019,Eint Frankfurt,Bundesliga,team,30,26.4,47.3,34,374,3060,34,60,42,56,4,4,58,3,1.76,1.24,3,1.65,2.88,55.4,52.4,38.4,90.8,1.63,1.13,2.76,1.54,2.67,https://fbref.com/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
2019,Eint Frankfurt,Bundesliga,opponent,30,26,52.7,34,374,3060,34,47,38,46,1,1,63,3,1.38,1.12,2.5,1.35,2.47,50.5,49.8,39.5,89.3,1.49,1.16,2.65,1.46,2.63,https://fbref.com/en/squads/f0ac8ee6/2018-2019/Eintracht-Frankfurt-Stats
2019,Empoli,Serie A,team,29,26.4,47.9,38,418,3420,38,48,36,44,4,7,73,3,1.26,0.95,2.21,1.16,2.11,52,46.7,34,80.6,1.37,0.89,2.26,1.23,2.12,https://fbref.com/en/squads/a3d88bd8/2018-2019/Empoli-Stats
2019,Empoli,Serie A,opponent,29,27,52.1,38,418,3420,38,68,51,62,6,8,77,6,1.79,1.34,3.13,1.63,2.97,61,54.9,42.6,97.5,1.6,1.12,2.73,1.44,2.57,https://fbref.com/en/squads/a3d88bd8/2018-2019/Empoli-Stats
2019,Espanyol,La Liga,team,25,27.7,49.5,38,418,3420,38,44,26,40,4,4,90,2,1.16,0.68,1.84,1.05,1.74,48.8,45.8,32.6,78.4,1.28,0.86,2.14,1.2,2.06,https://fbref.com/en/squads/a8661628/2018-2019/Espanyol-Stats
2019,Espanyol,La Liga,opponent,25,26.8,50.5,38,418,3420,38,48,26,42,6,8,111,6,1.26,0.68,1.95,1.11,1.79,50.8,44.8,33.6,78.4,1.34,0.88,2.22,1.18,2.06,https://fbref.com/en/squads/a8661628/2018-2019/Espanyol-Stats
2019,Everton,Premier League,team,23,25.7,51.5,38,418,3420,38,53,34,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,48.3,44.3,31.5,75.8,1.27,0.83,2.1,1.17,1.99,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2019,Everton,Premier League,opponent,23,26.8,48.5,38,418,3420,38,44,24,42,2,5,77,2,1.16,0.63,1.79,1.11,1.74,47.5,43.5,31.6,75.2,1.25,0.83,2.08,1.15,1.98,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats
2019,Fiorentina,Serie A,team,27,24.1,50.7,38,418,3420,38,45,24,40,5,6,89,5,1.18,0.63,1.82,1.05,1.68,52.4,47.9,33.8,81.7,1.38,0.89,2.27,1.26,2.15,https://fbref.com/en/squads/421387cf/2018-2019/Fiorentina-Stats
